lat,lng,peso_carros_ponto,jam_factor,rua
-25.60182,-54.57243,0.8,0.0,Avenida Victoria Aguirre Este
-25.60204,-54.57275,0.8,0.0,Avenida Victoria Aguirre Este
-25.60182,-54.57243,6.6,6.5,Avenida Victoria Aguirre Este
-25.60076,-54.57184,6.6,6.5,Avenida Victoria Aguirre Este
-25.60641,-54.56773,1.39,2.5,República Argentina/Avenida Córdoba
-25.60588,-54.56828,1.39,2.5,República Argentina/Avenida Córdoba
-25.60588,-54.56828,1.39,2.5,República Argentina/Avenida Córdoba
-25.60558,-54.56857,1.39,2.5,República Argentina/Avenida Córdoba
-25.60558,-54.56857,1.39,2.5,República Argentina/Avenida Córdoba
-25.60534,-54.56883,1.39,2.5,República Argentina/Avenida Córdoba
-25.60534,-54.56883,1.39,2.5,República Argentina/Avenida Córdoba
-25.60481,-54.56941,1.39,2.5,República Argentina/Avenida Córdoba
-25.60481,-54.56941,1.39,2.5,República Argentina/Avenida Córdoba
-25.60475,-54.56947,1.39,2.5,República Argentina/Avenida Córdoba
-25.60475,-54.56947,1.39,2.5,República Argentina/Avenida Córdoba
-25.60406,-54.57018,1.39,2.5,República Argentina/Avenida Córdoba
-25.60406,-54.57018,1.39,2.5,República Argentina/Avenida Córdoba
-25.60332,-54.5709,1.39,2.5,República Argentina/Avenida Córdoba
-25.60332,-54.5709,1.39,2.5,República Argentina/Avenida Córdoba
-25.60258,-54.57166,1.39,2.5,República Argentina/Avenida Córdoba
-25.60258,-54.57166,1.39,2.5,República Argentina/Avenida Córdoba
-25.6024,-54.57185,1.39,2.5,República Argentina/Avenida Córdoba
-25.6024,-54.57185,1.39,2.5,República Argentina/Avenida Córdoba
-25.60182,-54.57243,1.39,2.5,República Argentina/Avenida Córdoba
-25.6024,-54.57185,1.35,1.5,Avenida Presidente Perón
-25.60258,-54.57166,1.35,1.5,Avenida Presidente Perón
-25.60258,-54.57166,1.35,1.5,Avenida Presidente Perón
-25.60332,-54.5709,1.35,1.5,Avenida Presidente Perón
-25.60332,-54.5709,1.35,1.5,Avenida Presidente Perón
-25.60406,-54.57018,1.35,1.5,Avenida Presidente Perón
-25.60406,-54.57018,1.35,1.5,Avenida Presidente Perón
-25.60475,-54.56947,1.35,1.5,Avenida Presidente Perón
-25.60475,-54.56947,1.35,1.5,Avenida Presidente Perón
-25.60481,-54.56941,1.35,1.5,Avenida Presidente Perón
-25.60481,-54.56941,1.35,1.5,Avenida Presidente Perón
-25.60534,-54.56883,1.35,1.5,Avenida Presidente Perón
-25.60534,-54.56883,1.35,1.5,Avenida Presidente Perón
-25.60558,-54.56857,1.35,1.5,Avenida Presidente Perón
-25.60558,-54.56857,1.35,1.5,Avenida Presidente Perón
-25.60588,-54.56828,1.35,1.5,Avenida Presidente Perón
-25.60588,-54.56828,1.35,1.5,Avenida Presidente Perón
-25.60641,-54.56773,1.35,1.5,Avenida Presidente Perón
-25.60182,-54.57243,1.74,2.8,República Argentina/Avenida Córdoba
-25.6024,-54.57185,1.74,2.8,República Argentina/Avenida Córdoba
-25.60204,-54.57275,1.87,3.2,Avenida de los Trabajadores
-25.60306,-54.57391,1.87,3.2,Avenida de los Trabajadores
-25.60306,-54.57391,1.87,3.2,Avenida de los Trabajadores
-25.60354,-54.57449,1.87,3.2,Avenida de los Trabajadores
-25.60354,-54.57449,1.87,3.2,Avenida de los Trabajadores
-25.60405,-54.57511,1.87,3.2,Avenida de los Trabajadores
-25.60405,-54.57511,1.87,3.2,Avenida de los Trabajadores
-25.60464,-54.57582,1.87,3.2,Avenida de los Trabajadores
-25.60464,-54.57582,1.87,3.2,Avenida de los Trabajadores
-25.60528,-54.57656,1.87,3.2,Avenida de los Trabajadores
-25.60528,-54.57656,1.87,3.2,Avenida de los Trabajadores
-25.60551,-54.57678,1.87,3.2,Avenida de los Trabajadores
-25.60584,-54.57701,1.87,3.2,Avenida de los Trabajadores
-25.60611,-54.57717,1.87,3.2,Avenida de los Trabajadores
-25.6065,-54.57727,1.87,3.2,Avenida de los Trabajadores
-25.6065,-54.57727,1.87,3.2,Avenida de los Trabajadores
-25.6073,-54.5774,1.87,3.2,Avenida de los Trabajadores
-25.6073,-54.5774,1.87,3.2,Avenida de los Trabajadores
-25.60751,-54.57743,1.87,3.2,Avenida de los Trabajadores
-25.60852,-54.57739,1.87,3.2,Avenida de los Trabajadores
-25.60852,-54.57739,1.87,3.2,Avenida de los Trabajadores
-25.60922,-54.57736,1.87,3.2,Avenida de los Trabajadores
-25.60922,-54.57736,1.87,3.2,Avenida de los Trabajadores
-25.60991,-54.57735,1.87,3.2,Avenida de los Trabajadores
-25.60991,-54.57735,1.87,3.2,Avenida de los Trabajadores
-25.61142,-54.5773,1.87,3.2,Avenida de los Trabajadores
-25.61142,-54.5773,1.87,3.2,Avenida de los Trabajadores
-25.61218,-54.57728,1.87,3.2,Avenida de los Trabajadores
-25.61218,-54.57728,1.87,3.2,Avenida de los Trabajadores
-25.61289,-54.57725,1.87,3.2,Avenida de los Trabajadores
-25.61289,-54.57725,1.87,3.2,Avenida de los Trabajadores
-25.61354,-54.57722,1.87,3.2,Avenida de los Trabajadores
-25.61354,-54.57722,1.87,3.2,Avenida de los Trabajadores
-25.6144,-54.57721,1.87,3.2,Avenida de los Trabajadores
-25.6144,-54.57721,1.87,3.2,Avenida de los Trabajadores
-25.61552,-54.57715,1.87,3.2,Avenida de los Trabajadores
-25.61552,-54.57715,1.87,3.2,Avenida de los Trabajadores
-25.6166,-54.57715,1.87,3.2,Avenida de los Trabajadores
-25.6166,-54.57715,1.87,3.2,Avenida de los Trabajadores
-25.61779,-54.57709,1.87,3.2,Avenida de los Trabajadores
-25.61779,-54.57709,1.87,3.2,Avenida de los Trabajadores
-25.61806,-54.57703,1.87,3.2,Avenida de los Trabajadores
-25.61806,-54.57703,1.87,3.2,Avenida de los Trabajadores
-25.61883,-54.57682,1.87,3.2,Avenida de los Trabajadores
-25.61806,-54.57703,1.82,2.7,Avenida Victoria Aguirre Este
-25.61779,-54.57709,1.82,2.7,Avenida Victoria Aguirre Este
-25.61779,-54.57709,1.82,2.7,Avenida Victoria Aguirre Este
-25.6166,-54.57715,1.82,2.7,Avenida Victoria Aguirre Este
-25.6166,-54.57715,1.82,2.7,Avenida Victoria Aguirre Este
-25.61552,-54.57715,1.82,2.7,Avenida Victoria Aguirre Este
-25.61552,-54.57715,1.82,2.7,Avenida Victoria Aguirre Este
-25.6144,-54.57721,1.82,2.7,Avenida Victoria Aguirre Este
-25.6144,-54.57721,1.82,2.7,Avenida Victoria Aguirre Este
-25.61354,-54.57722,1.82,2.7,Avenida Victoria Aguirre Este
-25.61354,-54.57722,1.82,2.7,Avenida Victoria Aguirre Este
-25.61289,-54.57725,1.82,2.7,Avenida Victoria Aguirre Este
-25.61289,-54.57725,1.82,2.7,Avenida Victoria Aguirre Este
-25.61218,-54.57728,1.82,2.7,Avenida Victoria Aguirre Este
-25.61218,-54.57728,1.82,2.7,Avenida Victoria Aguirre Este
-25.61142,-54.5773,1.82,2.7,Avenida Victoria Aguirre Este
-25.61142,-54.5773,1.82,2.7,Avenida Victoria Aguirre Este
-25.60991,-54.57735,1.82,2.7,Avenida Victoria Aguirre Este
-25.60991,-54.57735,1.82,2.7,Avenida Victoria Aguirre Este
-25.60922,-54.57736,1.82,2.7,Avenida Victoria Aguirre Este
-25.60922,-54.57736,1.82,2.7,Avenida Victoria Aguirre Este
-25.60852,-54.57739,1.82,2.7,Avenida Victoria Aguirre Este
-25.60852,-54.57739,1.82,2.7,Avenida Victoria Aguirre Este
-25.60751,-54.57743,1.82,2.7,Avenida Victoria Aguirre Este
-25.6073,-54.5774,1.82,2.7,Avenida Victoria Aguirre Este
-25.6073,-54.5774,1.82,2.7,Avenida Victoria Aguirre Este
-25.6065,-54.57727,1.82,2.7,Avenida Victoria Aguirre Este
-25.6065,-54.57727,1.82,2.7,Avenida Victoria Aguirre Este
-25.60611,-54.57717,1.82,2.7,Avenida Victoria Aguirre Este
-25.60584,-54.57701,1.82,2.7,Avenida Victoria Aguirre Este
-25.60551,-54.57678,1.82,2.7,Avenida Victoria Aguirre Este
-25.60528,-54.57656,1.82,2.7,Avenida Victoria Aguirre Este
-25.60528,-54.57656,1.82,2.7,Avenida Victoria Aguirre Este
-25.60464,-54.57582,1.82,2.7,Avenida Victoria Aguirre Este
-25.60464,-54.57582,1.82,2.7,Avenida Victoria Aguirre Este
-25.60405,-54.57511,1.82,2.7,Avenida Victoria Aguirre Este
-25.60405,-54.57511,1.82,2.7,Avenida Victoria Aguirre Este
-25.60354,-54.57449,1.82,2.7,Avenida Victoria Aguirre Este
-25.60354,-54.57449,1.82,2.7,Avenida Victoria Aguirre Este
-25.60306,-54.57391,1.82,2.7,Avenida Victoria Aguirre Este
-25.60306,-54.57391,1.82,2.7,Avenida Victoria Aguirre Este
-25.60204,-54.57275,1.82,2.7,Avenida Victoria Aguirre Este
-25.60204,-54.57275,1.82,2.7,Avenida Victoria Aguirre Este
-25.60182,-54.57243,1.82,2.7,Avenida Victoria Aguirre Este
-25.61883,-54.57682,1.76,1.8,Avenida de los Trabajadores
-25.61806,-54.57703,1.76,1.8,Avenida de los Trabajadores
-25.61883,-54.57682,1.48,0.3,República Argentina
-25.61872,-54.57609,1.48,0.3,República Argentina
-25.60641,-54.56773,0.56,2.7,Avenida Victoria Aguirre Este
-25.60631,-54.56747,0.56,2.7,Avenida Victoria Aguirre Este
-25.60589,-54.56383,0.4,0.0,12
-25.60611,-54.56399,0.4,0.0,12
-25.60611,-54.56399,0.4,0.0,12
-25.60619,-54.56406,0.4,0.0,12
-25.60619,-54.56406,1.34,3.0,Avenida Victoria Aguirre Este
-25.60623,-54.56455,1.34,3.0,Avenida Victoria Aguirre Este
-25.6062,-54.56471,1.34,3.0,Avenida Victoria Aguirre Este
-25.6062,-54.56471,1.34,3.0,Avenida Victoria Aguirre Este
-25.60626,-54.56581,1.34,3.0,Avenida Victoria Aguirre Este
-25.60626,-54.56581,1.34,3.0,Avenida Victoria Aguirre Este
-25.60629,-54.56677,1.34,3.0,Avenida Victoria Aguirre Este
-25.60629,-54.56677,1.34,3.0,Avenida Victoria Aguirre Este
-25.60631,-54.56747,1.34,3.0,Avenida Victoria Aguirre Este
-25.60631,-54.56747,1.34,3.0,Avenida Victoria Aguirre Este
-25.60641,-54.56773,1.34,3.0,Avenida Victoria Aguirre Este
-25.60631,-54.56747,3.18,4.0,12
-25.60629,-54.56677,3.18,4.0,12
-25.60629,-54.56677,3.18,4.0,12
-25.60626,-54.56581,3.18,4.0,12
-25.60626,-54.56581,3.18,4.0,12
-25.6062,-54.56471,3.18,4.0,12
-25.6062,-54.56471,3.18,4.0,12
-25.60623,-54.56455,3.18,4.0,12
-25.60619,-54.56406,3.18,4.0,12
-25.60619,-54.56406,3.18,4.0,12
-25.60623,-54.56394,3.18,4.0,12
-25.60635,-54.56369,3.18,4.0,12
-25.60531,-54.56519,2.13,2.8,Avenida Guaraní
-25.6044,-54.56565,2.13,2.8,Avenida Guaraní
-25.60437,-54.56568,2.13,2.8,Avenida Guaraní
-25.60437,-54.56568,2.13,2.8,Avenida Guaraní
-25.60338,-54.56618,2.13,2.8,Avenida Guaraní
-25.60338,-54.56618,2.13,2.8,Avenida Guaraní
-25.60223,-54.5668,2.13,2.8,Avenida Guaraní
-25.60223,-54.5668,2.13,2.8,Avenida Guaraní
-25.60161,-54.56711,2.13,2.8,Avenida Guaraní
-25.60161,-54.56711,2.13,2.8,Avenida Guaraní
-25.60147,-54.5672,2.13,2.8,Avenida Guaraní
-25.60134,-54.56722,2.13,2.8,Avenida Guaraní
-25.60105,-54.56718,2.13,2.8,Avenida Guaraní
-25.5985,-54.56648,2.13,2.8,Avenida Guaraní
-25.5985,-54.56648,2.13,2.8,Avenida Guaraní
-25.59814,-54.56646,2.13,2.8,Avenida Guaraní
-25.5985,-54.56648,16.46,8.1,Avenida Presidente Perón
-25.60105,-54.56718,16.46,8.1,Avenida Presidente Perón
-25.60134,-54.56722,16.46,8.1,Avenida Presidente Perón
-25.60147,-54.5672,16.46,8.1,Avenida Presidente Perón
-25.60161,-54.56711,16.46,8.1,Avenida Presidente Perón
-25.60161,-54.56711,16.46,8.1,Avenida Presidente Perón
-25.60223,-54.5668,16.46,8.1,Avenida Presidente Perón
-25.60223,-54.5668,16.46,8.1,Avenida Presidente Perón
-25.60338,-54.56618,16.46,8.1,Avenida Presidente Perón
-25.60338,-54.56618,16.46,8.1,Avenida Presidente Perón
-25.60437,-54.56568,16.46,8.1,Avenida Presidente Perón
-25.60437,-54.56568,16.46,8.1,Avenida Presidente Perón
-25.6044,-54.56565,16.46,8.1,Avenida Presidente Perón
-25.60531,-54.56519,16.46,8.1,Avenida Presidente Perón
-25.60531,-54.56519,16.46,8.1,Avenida Presidente Perón
-25.6062,-54.56471,16.46,8.1,Avenida Presidente Perón
-25.59814,-54.56646,0.8,1.0,Avenida Guaraní
-25.5985,-54.56648,0.8,1.0,Avenida Guaraní
-25.59814,-54.56646,0.79,3.9,Hipólito Yrigoyen
-25.59811,-54.56661,0.79,3.9,Hipólito Yrigoyen
-25.5981,-54.56705,0.79,3.9,Hipólito Yrigoyen
-25.61452,-54.5591,1.48,2.6,República Argentina
-25.6147,-54.55932,1.48,2.6,República Argentina
-25.6147,-54.55932,1.48,2.6,República Argentina
-25.61517,-54.56,1.48,2.6,República Argentina
-25.61542,-54.56052,1.48,2.6,República Argentina
-25.61551,-54.56086,1.48,2.6,República Argentina
-25.6156,-54.56151,1.48,2.6,República Argentina
-25.61561,-54.56175,1.48,2.6,República Argentina
-25.61561,-54.56175,1.48,2.6,República Argentina
-25.61565,-54.56209,1.48,2.6,República Argentina
-25.61565,-54.56209,1.48,2.6,República Argentina
-25.61567,-54.56228,1.48,2.6,República Argentina
-25.61567,-54.56228,1.48,2.6,República Argentina
-25.61589,-54.56589,1.48,2.6,República Argentina
-25.61591,-54.56613,1.48,2.6,República Argentina
-25.61599,-54.56649,1.48,2.6,República Argentina
-25.61599,-54.56649,1.48,2.6,República Argentina
-25.61605,-54.56682,1.48,2.6,República Argentina
-25.61605,-54.56682,1.48,2.6,República Argentina
-25.61615,-54.56707,1.48,2.6,República Argentina
-25.61615,-54.56707,1.48,2.6,República Argentina
-25.61673,-54.56853,1.48,2.6,República Argentina
-25.61673,-54.56853,1.48,2.6,República Argentina
-25.61696,-54.56906,1.48,2.6,República Argentina
-25.61713,-54.56957,1.48,2.6,República Argentina
-25.61713,-54.56957,1.48,2.6,República Argentina
-25.61751,-54.57036,1.48,2.6,República Argentina
-25.61751,-54.57036,1.48,2.6,República Argentina
-25.61757,-54.57057,1.48,2.6,República Argentina
-25.61767,-54.57101,1.48,2.6,República Argentina
-25.61767,-54.57101,1.48,2.6,República Argentina
-25.61774,-54.57134,1.48,2.6,República Argentina
-25.61774,-54.57134,1.48,2.6,República Argentina
-25.61781,-54.57165,1.48,2.6,República Argentina
-25.61781,-54.57165,1.48,2.6,República Argentina
-25.61795,-54.57226,1.48,2.6,República Argentina
-25.61795,-54.57226,1.48,2.6,República Argentina
-25.61805,-54.57276,1.48,2.6,República Argentina
-25.61805,-54.57276,1.48,2.6,República Argentina
-25.61814,-54.57314,1.48,2.6,República Argentina
-25.61814,-54.57314,1.48,2.6,República Argentina
-25.61825,-54.5737,1.48,2.6,República Argentina
-25.61825,-54.5737,1.48,2.6,República Argentina
-25.61841,-54.57452,1.48,2.6,República Argentina
-25.61841,-54.57452,1.48,2.6,República Argentina
-25.61856,-54.57529,1.48,2.6,República Argentina
-25.61856,-54.57529,1.48,2.6,República Argentina
-25.61872,-54.57609,1.48,2.6,República Argentina
-25.61872,-54.57609,1.48,2.6,República Argentina
-25.61883,-54.57682,1.48,2.6,República Argentina
-25.61872,-54.57609,1.43,3.7,12
-25.61856,-54.57529,1.43,3.7,12
-25.61856,-54.57529,1.43,3.7,12
-25.61841,-54.57452,1.43,3.7,12
-25.61841,-54.57452,1.43,3.7,12
-25.61825,-54.5737,1.43,3.7,12
-25.61825,-54.5737,1.43,3.7,12
-25.61814,-54.57314,1.43,3.7,12
-25.61814,-54.57314,1.43,3.7,12
-25.61805,-54.57276,1.43,3.7,12
-25.61805,-54.57276,1.43,3.7,12
-25.61795,-54.57226,1.43,3.7,12
-25.61795,-54.57226,1.43,3.7,12
-25.61781,-54.57165,1.43,3.7,12
-25.61781,-54.57165,1.43,3.7,12
-25.61774,-54.57134,1.43,3.7,12
-25.61774,-54.57134,1.43,3.7,12
-25.61767,-54.57101,1.43,3.7,12
-25.61767,-54.57101,1.43,3.7,12
-25.61757,-54.57057,1.43,3.7,12
-25.61751,-54.57036,1.43,3.7,12
-25.61751,-54.57036,1.43,3.7,12
-25.61713,-54.56957,1.43,3.7,12
-25.61713,-54.56957,1.43,3.7,12
-25.61696,-54.56906,1.43,3.7,12
-25.61673,-54.56853,1.43,3.7,12
-25.61673,-54.56853,1.43,3.7,12
-25.61615,-54.56707,1.43,3.7,12
-25.61615,-54.56707,1.43,3.7,12
-25.61605,-54.56682,1.43,3.7,12
-25.61605,-54.56682,1.43,3.7,12
-25.61599,-54.56649,1.43,3.7,12
-25.61599,-54.56649,1.43,3.7,12
-25.61591,-54.56613,1.43,3.7,12
-25.61589,-54.56589,1.43,3.7,12
-25.61567,-54.56228,1.43,3.7,12
-25.61567,-54.56228,1.43,3.7,12
-25.61565,-54.56209,1.43,3.7,12
-25.61565,-54.56209,1.43,3.7,12
-25.61561,-54.56175,1.43,3.7,12
-25.61561,-54.56175,1.43,3.7,12
-25.6156,-54.56151,1.43,3.7,12
-25.61551,-54.56086,1.43,3.7,12
-25.61542,-54.56052,1.43,3.7,12
-25.61517,-54.56,1.43,3.7,12
-25.6147,-54.55932,1.43,3.7,12
-25.6147,-54.55932,1.43,3.7,12
-25.61452,-54.5591,1.43,3.7,12
-25.61452,-54.5591,1.43,3.7,12
-25.61446,-54.55902,1.43,3.7,12
-25.66884,-54.49871,1.79,0.3,Avenida De Los Trabajadores
-25.66839,-54.4993,1.79,0.3,Avenida De Los Trabajadores
-25.66839,-54.4993,1.79,0.3,Avenida De Los Trabajadores
-25.66796,-54.49986,1.79,0.3,Avenida De Los Trabajadores
-25.66784,-54.50005,1.79,0.3,Avenida De Los Trabajadores
-25.66784,-54.50005,1.79,0.3,Avenida De Los Trabajadores
-25.66575,-54.50271,1.79,0.3,Avenida De Los Trabajadores
-25.66575,-54.50271,1.79,0.3,Avenida De Los Trabajadores
-25.66547,-54.50307,1.79,0.3,Avenida De Los Trabajadores
-25.66547,-54.50307,1.79,0.3,Avenida De Los Trabajadores
-25.66294,-54.5063,1.79,0.3,Avenida De Los Trabajadores
-25.66294,-54.5063,1.79,0.3,Avenida De Los Trabajadores
-25.66246,-54.50691,1.79,0.3,Avenida De Los Trabajadores
-25.66246,-54.50691,1.79,0.3,Avenida De Los Trabajadores
-25.66178,-54.50778,1.79,0.3,Avenida De Los Trabajadores
-25.66178,-54.50778,1.79,0.3,Avenida De Los Trabajadores
-25.66149,-54.50815,1.79,0.3,Avenida De Los Trabajadores
-25.66149,-54.50815,1.79,0.3,Avenida De Los Trabajadores
-25.66102,-54.50875,1.79,0.3,Avenida De Los Trabajadores
-25.66102,-54.50875,1.79,0.3,Avenida De Los Trabajadores
-25.66068,-54.50918,1.79,0.3,Avenida De Los Trabajadores
-25.66068,-54.50918,1.79,0.3,Avenida De Los Trabajadores
-25.66009,-54.50994,1.79,0.3,Avenida De Los Trabajadores
-25.66009,-54.50994,1.79,0.3,Avenida De Los Trabajadores
-25.65964,-54.51051,1.79,0.3,Avenida De Los Trabajadores
-25.65964,-54.51051,1.79,0.3,Avenida De Los Trabajadores
-25.65921,-54.51106,1.79,0.3,Avenida De Los Trabajadores
-25.65921,-54.51106,1.79,0.3,Avenida De Los Trabajadores
-25.65822,-54.51232,1.79,0.3,Avenida De Los Trabajadores
-25.65822,-54.51232,1.79,0.3,Avenida De Los Trabajadores
-25.65538,-54.51594,1.79,0.3,Avenida De Los Trabajadores
-25.65538,-54.51594,1.79,0.3,Avenida De Los Trabajadores
-25.65486,-54.51661,1.79,0.3,Avenida De Los Trabajadores
-25.65486,-54.51661,1.79,0.3,Avenida De Los Trabajadores
-25.65411,-54.51756,1.79,0.3,Avenida De Los Trabajadores
-25.65411,-54.51756,1.79,0.3,Avenida De Los Trabajadores
-25.65325,-54.51865,1.79,0.3,Avenida De Los Trabajadores
-25.65325,-54.51865,1.79,0.3,Avenida De Los Trabajadores
-25.65267,-54.51939,1.79,0.3,Avenida De Los Trabajadores
-25.65267,-54.51939,1.79,0.3,Avenida De Los Trabajadores
-25.65247,-54.51965,1.79,0.3,Avenida De Los Trabajadores
-25.65247,-54.51965,1.79,0.3,Avenida De Los Trabajadores
-25.65186,-54.52043,1.79,0.3,Avenida De Los Trabajadores
-25.65186,-54.52043,1.79,0.3,Avenida De Los Trabajadores
-25.65092,-54.52163,1.79,0.3,Avenida De Los Trabajadores
-25.65092,-54.52163,1.79,0.3,Avenida De Los Trabajadores
-25.64825,-54.52505,1.79,0.3,Avenida De Los Trabajadores
-25.64825,-54.52505,1.79,0.3,Avenida De Los Trabajadores
-25.64702,-54.52662,1.79,0.3,Avenida De Los Trabajadores
-25.64702,-54.52662,1.79,0.3,Avenida De Los Trabajadores
-25.64589,-54.52807,1.79,0.3,Avenida De Los Trabajadores
-25.64589,-54.52807,1.79,0.3,Avenida De Los Trabajadores
-25.64416,-54.53029,1.79,0.3,Avenida De Los Trabajadores
-25.64416,-54.53029,1.79,0.3,Avenida De Los Trabajadores
-25.64341,-54.53125,1.79,0.3,Avenida De Los Trabajadores
-25.64341,-54.53125,1.79,0.3,Avenida De Los Trabajadores
-25.64294,-54.53185,1.79,0.3,Avenida De Los Trabajadores
-25.64294,-54.53185,1.79,0.3,Avenida De Los Trabajadores
-25.64229,-54.53267,1.79,0.3,Avenida De Los Trabajadores
-25.64199,-54.53303,1.79,0.3,Avenida De Los Trabajadores
-25.64183,-54.53321,1.79,0.3,Avenida De Los Trabajadores
